iter	Passed	Remaining
487	732	768
488	733	766
489	734	764
490	735	761
491	735	759
492	738	759
493	741	759
494	742	757
495	743	755
496	744	753
497	745	751
498	746	749
499	747	747
500	748	745
501	750	744
502	751	742
503	755	743
504	756	741
505	757	739
506	758	737
507	759	735
508	760	733
509	761	731
510	762	729
511	763	727
512	764	725
513	765	723
514	766	721
515	771	723
516	772	721
517	773	719
518	774	717
519	774	715
520	775	713
521	776	710
522	776	708
523	777	706
524	777	703
525	778	701
526	779	699
527	779	696
528	780	694
529	780	692
530	781	690
531	784	690
532	785	688
533	786	686
534	787	684
535	787	682
536	788	680
537	789	677
538	790	675
539	790	673
540	791	671
541	791	669
542	792	666
543	792	664
544	793	662
545	793	660
546	794	658
547	795	655
548	795	653
549	796	651
550	797	649
551	802	651
552	803	649
553	803	647
554	804	644
555	805	643
556	805	640
557	806	638
558	806	636
559	807	634
560	807	632
561	808	630
562	809	628
563	809	625
564	810	623
565	810	621
566	811	619
567	811	617
568	812	615
569	814	614
570	815	612
571	816	611
572	817	609
573	818	607
574	818	605
575	819	603
576	820	601
577	820	599
578	821	597
579	821	595
580	822	593
581	823	591
582	824	589
583	824	587
584	825	585
585	825	583
586	826	581
587	827	579
588	829	578
589	831	577
590	832	575
591	832	574
592	833	572
593	834	570
594	835	568
595	835	566
596	836	564
597	836	562
598	837	560
599	837	558
600	838	556
601	839	554
602	839	552
603	840	551
604	842	550
605	847	550
606	848	549
607	849	547
608	851	546
609	852	545
610	856	545
611	857	543
612	858	541
613	868	546
614	869	544
615	870	542
616	871	541
617	872	539
618	874	538
619	876	537
620	878	536
621	880	535
622	882	533
623	883	532
624	884	530
625	885	529
626	887	528
627	888	526
628	889	524
629	915	537
630	917	536
631	918	534
632	919	532
633	920	531
634	921	529
635	923	528
636	927	528
637	929	527
638	930	525
639	931	523
640	932	522
641	934	521
642	936	519
643	945	522
644	946	521
645	947	519
646	948	517
647	949	515
648	951	514
649	957	515
650	960	515
651	961	513
652	963	511
653	965	510
654	966	509
655	967	507
656	980	511
657	982	510
658	986	510
659	988	509
660	990	508
661	991	506
662	992	504
663	993	502
664	1004	505
665	1011	507
666	1011	505
667	1013	503
668	1022	505
669	1023	504
670	1025	502
671	1026	501
672	1027	499
673	1028	497
674	1029	495
675	1030	493
676	1030	491
677	1032	490
678	1033	488
679	1034	486
680	1035	485
681	1036	483
682	1036	481
683	1037	479
684	1037	477
685	1038	475
686	1038	473
687	1039	471
688	1040	469
689	1040	467
690	1041	465
691	1041	463
692	1042	461
693	1042	459
694	1043	457
695	1044	456
696	1044	454
697	1045	452
698	1048	451
699	1049	449
700	1050	448
701	1051	446
702	1051	444
703	1053	442
704	1054	441
705	1054	439
706	1055	437
707	1055	435
708	1056	433
709	1056	431
710	1057	429
711	1057	427
712	1058	426
713	1058	424
714	1059	422
715	1060	420
716	1061	419
717	1063	417
718	1064	415
